cellId	taskId	executor	launchTime	duration	size	records	appId	stageId
96	50460	mr-02:2	2021/05/06 21:47:11	6	0	0	application_1615435002078_0444	10
6	50363	mr-10:7	2021/05/06 21:47:11	6	0	0	application_1615435002078_0444	10
73	50432	mr-01:6	2021/05/06 21:47:11	6	0	0	application_1615435002078_0444	10
95	50454	mr-01:6	2021/05/06 21:47:11	6	0	0	application_1615435002078_0444	10
83	50440	mr-10:7	2021/05/06 21:47:11	6	0	0	application_1615435002078_0444	10
61	50418	mr-10:7	2021/05/06 21:47:11	6	0	0	application_1615435002078_0444	10
94	50451	mr-10:7	2021/05/06 21:47:11	6	0	0	application_1615435002078_0444	10
131	50479	mr-06:3	2021/05/06 21:47:12	6	0	0	application_1615435002078_0444	10
121	50476	mr-07:10	2021/05/06 21:47:12	6	12500000	2	application_1615435002078_0444	10
236	50487	mr-01:6	2021/05/06 21:47:12	6	0	0	application_1615435002078_0444	10
28	50385	mr-10:7	2021/05/06 21:47:11	6	2900000	2	application_1615435002078_0444	10
50	50407	mr-10:7	2021/05/06 21:47:11	6	206800	2	application_1615435002078_0444	10
156	50484	mr-07:10	2021/05/06 21:47:12	5	9400000	2	application_1615435002078_0444	10
124	50469	mr-01:6	2021/05/06 21:47:12	5	5400000	2	application_1615435002078_0444	10
103	50461	mr-02:2	2021/05/06 21:47:12	5	4900000	2	application_1615435002078_0444	10
130	50467	mr-06:3	2021/05/06 21:47:12	5	3400000	2	application_1615435002078_0444	10
39	50396	mr-10:7	2021/05/06 21:47:11	5	52	2	application_1615435002078_0444	10
72	50429	mr-10:7	2021/05/06 21:47:11	5	52	2	application_1615435002078_0444	10
33	50547	mr-06:17	2021/05/06 21:47:21	2	0	0	application_1615435002078_0444	10
88	50551	mr-06:17	2021/05/06 21:47:21	2	0	0	application_1615435002078_0444	10
44	50554	mr-06:17	2021/05/06 21:47:21	2	0	0	application_1615435002078_0444	10
22	50553	mr-06:17	2021/05/06 21:47:21	2	0	0	application_1615435002078_0444	10
66	50548	mr-06:17	2021/05/06 21:47:21	2	0	0	application_1615435002078_0444	10
131	50549	mr-06:17	2021/05/06 21:47:21	2	0	0	application_1615435002078_0444	10
77	50555	mr-06:17	2021/05/06 21:47:21	2	0	0	application_1615435002078_0444	10
136	50552	mr-06:17	2021/05/06 21:47:21	2	0	0	application_1615435002078_0444	10
55	50550	mr-06:17	2021/05/06 21:47:21	2	0	0	application_1615435002078_0444	10
